Ãå ½ç,ÏÈ ÈÖ,ÇÏ ÈÖ,ÇÏÌ¾,À­Îð,¶ÔÎÌ,µ³¼ê,¥¿¥¤¥à,Ãåº¹,Ã±¾¡,¿Í µ¤,ÇÏÂÎ½Å,Ä´¶µ»Õ
1,7,8,¥¸¡¼¥¬¡¼¥í¡¼¥ì¥ó¥¹,ÌÆ3,51.0,¿û¸¶ÌÀÎÉ,0:58.7,,8.5,5.0,486(0),[Åì] Éð»Ô¹¯ÃË
2,2,2,¥´¡¼¥ë¥Ç¥ó¥Á¥ç¥¤¥¹,²´3,56.0,É©ÅÄÍµÆó,0:58.9,1.1/4,3.7,2.0,458(+6),[Åì] ÉðÆ£Á±Â§
3,7,7,¥Ó¡¼¥Ó¡¼¥¢¥é¥¤¥ô,ÌÆ3,54.0,»°±º¹ÄÀ®,0:59.5,4,8.1,4.0,448(+4),[Åì] ¹âÌø¿ð¼ù
4,8,9,¥á¥¤¥·¥ç¥¦¥ï¥­¥¶¥·,²´3,56.0,ÃÓÅº¸¬°ì,0:59.6,¥¯¥Ó,6.5,3.0,468(-4),[À¾] ÃÓÅº·óÍº
5,8,10,¥Õ¥í¥ì¥ó¥¶¡¼¥ë,ÌÆ3,54.0,Æ£²¬¹¯ÂÀ,0:59.7,1/2,2.3,1.0,472(-6),[À¾] ËÒ±º½¼ÆÁ
6,6,6,¥í¡¼¥¼¥ó¥ª¥ë¥Ç¥ó,ÌÆ3,54.0,ÀÐÀîÍµµª,1:00.3,3.1/2,14.8,6.0,410(-2),[Åì] ÎÓÅ°
7,5,5,¥É¥é¥´¥ó¥¨¥Ê¥¸¡¼,²´3,53.0,ÃÄÌîÂçÀ®,1:00.4,1/2,34.9,7.0,460(+10),[Åì] Âç¹¾¸¶Å¯
8,4,4,¥Ç¥ë¥Þ¥¸¥å¥Ù¥ë¥Ë¡¼,²´3,56.0,Ã°ÆâÍ´¼¡,1:00.5,¥¯¥Ó,39.8,9.0,478(-6),[Åì] Éð»Ô¹¯ÃË
9,3,3,¥Ï¡¼¥â¥Ë¡¼¥½¡¼¥É,²´3,56.0,²£»³ÏÂÀ¸,1:00.8,2,35.4,8.0,522(-2),[Åì] ÅÚÅÄÌ­
10,1,1,¥ä¥Þ¥Ë¥ó¥Ò¥é¥½¥ë,ÌÆ3,53.0,²£»³Éð»Ë,1:01.5,4,77.4,10.0,466(-8),[À¾] À¾¶¶Ë­¼£
1,5,5,¥®¥Õ¥È¥ª¥Ö¥¢¡¼¥È,ÌÆ3,54.0,»°±º¹ÄÀ®,1:45.9,,1.4,1.0,476(-4),[Åì] ¹âÌø¿ð¼ù
2,7,7,¥Î¡¼¥ê¥ß¥Ã¥Ä,²´3,56.0,¸ÅÀîµÈÍÎ,1:46.2,2,13.6,4.0,430(-2),[À¾] ÌÚ¸¶°ìÎÉ
3,1,1,¥¹¥ê¡¼¥ô¥ê¡¼¥°,²´3,55.0,²£»³Éð»Ë,1:47.0,5,5.0,2.0,504(+2),[Åì] ÉðÆ£Á±Â§
4,8,8,¥é¥­¥¨¥¹¥È¥Ð¥¤¥ª,ÌÆ3,54.0,Âã¹°¿Í,1:47.7,4,15.6,5.0,448(+6),[À¾] ÅÏÊÕ·°É§
5,4,4,¥ì¥ë¥·¥å¥¿¡¼¥×,²´3,56.0,µÈÅÄÈ»¿Í,1:47.9,1,24.8,8.0,446(-2),[À¾] µÈÅÄÄ¾¹°
6,8,9,¥ª¡¼¥ë¥É¥Ü¥ó¥Ð¡¼,²´3,56.0,´äÅÄ¹¯À¿,1:48.1,1.1/4,18.7,6.0,470(-3),[À¾] ÌðºîË§¿Í
7,2,2,¥¦¥¤¥ó¥´¥é¥¤¥¢¥¹,²´3,56.0,Ã°ÆâÍ´¼¡,1:48.2,3/4,13.5,3.0,538(+2),[Åì] ÂçÏÂÅÄÀ®
8,3,3,¥¢¥Æ¥ó¥°¥í¡¼¥ê¡¼,²´3,53.0,ÃÄÌîÂçÀ®,1:48.4,1.1/4,45.5,9.0,458(-4),[À¾] Ã«·é
9,6,6,¥¨¥¹¥È¥ê¥ë,ÌÆ3,54.0,Æ£²¬¹¯ÂÀ,1:49.2,5,22.3,7.0,490(+2),[À¾] ±üÂ¼Ë­
1,5,7,¥¹¥ê¡¼¥«¥Ê¥í¥¢¡¼,²´3,56.0,¼Æ»³Íº°ì,1:28.5,,3.0,1.0,506(-2),[À¾] Æî°æ¹îÌ¦
2,4,5,¥¯¥í¥é¥ó¥µ¥¹,ÌÆ3,53.0,²£»³Éð»Ë,1:28.6,1/2,5.0,2.0,406(0),[À¾] ¾¾±Ê´´É×
3,7,10,¥Æ¥£¥ì¥Ë¥¢,ÌÆ3,54.0,Æ£²¬Í¤²ð,1:28.8,1,8.9,5.0,444(-4),[À¾] ¹â¶¶Î¼
4,8,12,¥½¥ë¥Ñ¥·¥ª¥ó,²´3,56.0,¾¾²¬Àµ³¤,1:28.8,¥¯¥Ó,23.2,7.0,478(0),[Åì] Ãæ´Ü±ÑÆó
5,5,6,¥°¥ì¥¤¥·¥ã¥¹¥®¥ã¥ë,ÌÆ3,54.0,ÀîÅÄ¾­²í,1:29.0,1.1/4,5.3,4.0,416(0),[À¾] ÃæÆâÅÄ½¼
6,1,1,¥µ¥È¥Î¥×¥í¥ß¥Í¥ó¥È,¥»3,56.0,¾¡±ºÀµ¼ù,1:29.3,1.3/4,32.5,9.0,416(-16),[Åì] Åª¾ì¶Ñ
7,6,8,¥é¥ó¥é¥ó¥¦¥¤¥ó¥°,ÌÆ3,54.0,Æ£²¬¹¯ÂÀ,1:29.4,1/2,5.0,3.0,470(+16),[À¾] º£ÌîÄç°ì
8,3,3,¥ï¥¤¥ë¥É¥ª¡¼¥­¥Ã¥É,ÌÆ3,54.0,Ã°ÆâÍ´¼¡,1:29.5,1/2,28.9,8.0,400(+2),[Åì] ´ä¸Í¹§¼ù
9,8,13,¥·¥å¥ó¥«¥¸¥ç¥¦,ÌÆ3,54.0,ÉðË­,1:30.0,3,14.2,6.0,430(-6),[À¾] Æ£²¬·ò°ì
10,4,4,¥­¥å¡¼¥È¥¢¥¯¥È¥ì¥¹,ÌÆ3,54.0,¸ÅÀîµÈÍÎ,1:30.2,1.1/2,131.7,11.0,406(+16),[Åì] ÀÐÌÓÁ±É§
11,6,9,¥Ü¡¼¥º¥­¥ã¥Ã¥È,ÌÆ3,51.0,ÃÄÌîÂçÀ®,1:30.2,¥¢¥¿¥Þ,152.0,12.0,446(-12),[À¾] µÜÅ°
12,2,2,¥ë¥Ñ¥ó¥¹¡¼¥ë,ÌÆ3,51.0,¿û¸¶ÌÀÎÉ,1:30.4,1.1/4,210.6,13.0,440(+8),[Åì] °ËÆ£·½»°
13,7,11,¥µ¥È¥Î¥¨¥ì¡¼¥Ê,ÌÆ3,54.0,ÃÓÅº¸¬°ì,1:30.9,3,34.7,10.0,434(+4),[À¾] ¹â¶¶¹¯Ç·
1,7,7,¥ì¥¶¥Í¥Õ¥©¡¼¥ë,²´2,54.0,»°±º¹ÄÀ®,1:53.3,,1.8,1.0,444(0),[À¾] ÃÓ¹¾ÂÙ¼÷
2,1,1,¥Þ¥¤¥Í¥ë¥Ö¥é¥·¥¦¥¹,²´2,54.0,Ã°ÆâÍ´¼¡,1:53.3,¥¯¥Ó,7.4,3.0,464(0),[Åì] Èø´ØÃÎ¿Í
3,4,4,¥ê¥È¥ë¥Þ¥ó¥Þ¥ß¡¼¥¢,ÌÆ2,54.0,ÉðË­,1:53.4,¥¯¥Ó,13.0,6.0,442(0),[Åì] ¼¯¸ÍÍº°ì
4,3,3,¥¤¥ó¥¦¥£¥¯¥È¥¹,²´2,54.0,²®Ìî¶Ë,1:53.4,¥¯¥Ó,122.6,9.0,440(0),[Åì] ¾®É°»³¸ç
5,8,9,¥ì¥¤¥³¥Ã¥¯¥¢¥Ó¡¼,²´2,54.0,ÃÓÅº¸¬°ì,1:53.5,1/2,9.3,5.0,468(0),[Åì] ÂçÃÝÀµÇî
6,8,8,¥­¥ó¥Ö¥ì¥ë,²´2,54.0,´äÅÄ¹¯À¿,1:53.6,1/2,7.8,4.0,448(0),[Åì] ÌðÌî±Ñ°ì
7,5,5,¥»¥ë¥Õ¥£¡¼,ÌÆ2,54.0,¥ë¥á¡¼¥ë,1:53.7,¥¯¥Ó,6.0,2.0,466(0),[Åì] Æ£ÂôÏÂÍº
8,2,2,¥Þ¥ë¥¿¥¯¥í¥¹,²´2,54.0,²£»³ÏÂÀ¸,1:54.1,2.1/2,52.4,7.0,490(0),[À¾] ¾¾±Ê´´É×
9,6,6,¥À¥Ö¥ë¥¹¥«¡¼¥ì¥Ã¥È,ÌÆ2,53.0,²£»³Éð»Ë,1:57.8,Âç,59.5,8.0,456(0),[À¾] ÀéÅÄµ±É§
1,8,13,¥»¥é¥ó,ÌÆ2,54.0,ÉðË­,1:48.7,,2.0,1.0,478(0),[À¾] ¾¾±Ê´´É×
2,3,3,¥ä¥¦¥¬¥¦,²´2,54.0,¥ë¥á¡¼¥ë,1:48.8,3/4,3.9,2.0,452(0),[À¾] ¿Ü³­¾°²ð
3,6,9,¥³¥Ð¥ë¥È¥¦¥£¥ó¥°,²´2,54.0,»°±º¹ÄÀ®,1:49.0,1.1/2,5.4,3.0,514(0),[Åì] Çë¸¶À¶
4,5,7,¥Õ¥é¡¼¥ì¥ó,ÌÆ2,54.0,Æ£²¬¹¯ÂÀ,1:49.3,1.3/4,9.4,4.0,502(0),[À¾] ËÒÅÄÏÂÌï
5,8,14,¥¢¥¤¥ë¥Ó¡¼¥á¥¸¥ã¡¼,²´2,54.0,Ã°ÆâÍ´¼¡,1:49.5,1.1/2,198.1,14.0,456(0),[Åì] °ËÆ£¿­°ì
6,5,8,¥Ç¥ë¥Þ¥ª¥Ë¥­¥¹,²´2,54.0,²£»³ÏÂÀ¸,1:49.6,¥¯¥Ó,84.7,11.0,458(0),[Åì] Àª»ÊÏÂ¹À
7,7,12,¥Ï¥ä¥Ö¥µ¥Ô¥¢¡¼¥Î,ÌÆ2,54.0,µÈÅÄÈ»¿Í,1:50.0,2.1/2,77.5,10.0,448(0),[Åì] ¹âÌø¿ð¼ù
8,7,11,¥¹¥¦¥§¥¢¡¼,²´2,53.0,²£»³Éð»Ë,1:50.7,4,35.8,5.0,492(0),[Åì] ¿ù±º¹¨¾¼
9,6,10,¥Ç¥ë¥Þ¥È¥ë¥Þ¥ê¥ó,ÌÆ2,51.0,ÃÄÌîÂçÀ®,1:51.6,5,98.1,12.0,460(0),[À¾] ËÒÅÄÏÂÌï
10,3,4,¥´¡¼¥ó¥Û¡¼¥à,²´2,54.0,²®Ìî¶Ë,1:51.8,1.1/2,63.1,8.0,456(0),[À¾] ¹âÌøÂçÊå
11,4,5,¥°¥ì¥¤¥È¥µ¥ó¥Ç¥£¡¼,ÌÆ2,54.0,´äÅÄ¹¯À¿,1:52.0,1.1/4,45.9,6.0,432(0),[Åì] ÌðÌî±Ñ°ì
12,4,6,¥á¥¤¥·¥ç¥¦¥Õ¥ë¥µ¥È,²´2,54.0,ÃÓÅº¸¬°ì,1:52.2,1.1/2,72.0,9.0,480(0),[À¾] À¾±º¾¡°ì
13,2,2,¥Ç¥£¡¼¥¨¥¹¥µ¥ó¥À¡¼,²´2,54.0,¾¡±ºÀµ¼ù,1:53.0,5,49.8,7.0,442(0),[Åì] Æ£¸¶Ã¤Íº
14,1,1,¥­¥ã¥×¥Æ¥ó¥«¡¼¥¯,²´2,54.0,¾¾ÅÄÂçºî,1:55.7,Âç,125.0,13.0,436(0),[À¾] ¹â¶¶¹¯Ç·
1,4,4,¥¯¥é¥µ¡¼¥ô¥£¥Ä¥¡,ÌÆ3,52.0,»°±º¹ÄÀ®,2:00.9,,3.1,2.0,444(-4),[Åì] Éð°æÎ¼
2,7,7,¥À¥ó¥¹¥í¥Þ¥Í¥¹¥¯,ÌÆ3,49.0,¿û¸¶ÌÀÎÉ,2:01.2,1.3/4,7.9,4.0,464(0),[Åì] ¸ÍÅÄÇîÊ¸
3,1,1,¥­¥ó¥°¥Æ¥»¥¦¥¹,²´3,54.0,¥ë¥á¡¼¥ë,2:01.4,1.1/4,2.0,1.0,492(-6),[Åì] ÌÚÂ¼Å¯Ìé
4,5,5,¥Þ¥¤¥Í¥ë¥æ¥Ë¥Ö¥é¥ó,²´5,57.0,Ã°ÆâÍ´¼¡,2:01.6,1,24.5,6.0,522(+6),[Åì] ¹â¶¶Íµ
5,6,6,¥¢¥É¥Þ¥¤¥ä¥ê¡¼¥Ö¥é,²´3,54.0,´äÅÄ¹¯À¿,2:02.3,4,5.8,3.0,458(-2),[À¾] ÇßÅÄÃÒÇ·
6,3,3,¥Ô¡¼¥¹¥Õ¥ë¥µ¥ó¥Ç¡¼,²´3,54.0,Æ£²¬¹¯ÂÀ,2:02.4,1/2,16.6,5.0,444(-4),[À¾] µÜÅ°
7,2,2,¥é¥¹¥È¥×¥é¥¤¥É¥ï¥ó,²´5,57.0,¼Æ»³Íº°ì,2:03.3,5,66.1,8.0,478(+2),[Åì] ±üÂ¼Éð
8,8,9,¥µ¡¼¥¸¥å¥ß¥Î¥ë,²´4,56.0,²£»³Éð»Ë,2:03.6,1.3/4,61.2,7.0,470(-4),[À¾] ËÜÅÄÍ¥
9,8,8,¥­¥ó¥°¥Ý¥»¥¤¥É¥ó,²´4,57.0,ÀÐÀîÍµµª,2:03.6,¥Ï¥Ê,110.5,9.0,450(-12),[Åì] Éð»Ô¹¯ÃË
1,1,1,¥¦¥©¡¼¥¿¡¼¥Ñ¥ë¥Õ¥§,²´4,57.0,ÉðË­,1:48.4,,3.6,3.0,478(-2),[À¾] ÅÄ½ê½¨¹§
2,5,5,¥Þ¥¤¥Í¥ë¥¦¥£¥ë¥È¥¹,²´3,54.0,Ã°ÆâÍ´¼¡,1:48.4,¥¯¥Ó,2.9,2.0,476(+14),[À¾] µÜÅ°
3,4,4,¥¨¥ó¥·¥å¥é¥¦¥É,¥»3,54.0,¥ë¥á¡¼¥ë,1:48.6,1.1/2,2.0,1.0,470(-4),[Åì] Æ£ÂôÏÂÍº
4,2,2,¥°¥é¥ó¥Ä¥ê¥Ò¥¿¡¼,²´3,54.0,»°±º¹ÄÀ®,1:49.0,2.1/2,12.3,4.0,496(-8),[Åì] ÃæÀî¸øÀ®
5,7,7,¥¨¥Ô¥í¡¼¥°,ÌÆ3,52.0,²®Ìî¶Ë,1:49.4,2.1/2,19.5,5.0,458(-8),[À¾] ¾®ºê·û
6,3,3,¥µ¥¤¥â¥ó¥ë¥Á¥¢¡¼¥Î,²´4,57.0,Âã¹°¿Í,1:49.9,3,147.5,7.0,492(+6),[Åì] ÅÄÃæÀ¶Î´
7,6,6,¥ß¥Ä¥ª¥µ¥¦¥¹¥Ý¡¼,²´4,57.0,ÃÄÌîÂçÀ®,1:49.9,¥¯¥Ó,98.3,6.0,522(-4),[Åì] Âç¹¾¸¶Å¯
1,7,9,¥ê¥Õ¥È¥È¥¥¥Ø¥ô¥ó,²´5,57.0,¥ë¥á¡¼¥ë,1:44.5,,1.8,1.0,486(+2),[Åì] ²ÃÆ£À¬¹°
2,2,2,¥é¥¤¥¸¥ó¥°¥É¥é¥´¥ó,²´4,57.0,ÉðË­,1:45.4,5,8.7,5.0,446(+20),[À¾] µÈÅÄÄ¾¹°
3,1,1,¥ª¥¦¥±¥ó¥¹¥¿¡¼¥À¥à,²´5,57.0,»°±º¹ÄÀ®,1:45.8,2.1/2,33.9,9.0,478(-4),[Åì] ¹ñ»Þ±É
4,7,10,¥­¥ó¥°¥¹¥¯¥í¥¹,²´4,57.0,Æ£²¬¹¯ÂÀ,1:45.9,¥¯¥Ó,24.4,7.0,472(-4),[À¾] Âçµ×ÊÝÎ¶
5,4,4,¥Õ¥¯¥Î¥ï¥¤¥ë¥É,²´3,54.0,²ÃÆ£¾ÍÂÀ,1:46.3,2.1/2,7.0,2.0,480(-2),[À¾] ¿ù»³À²µª
6,8,11,¥Ü¥ë¥ó¥«¥º¥Þ,²´3,53.0,²£»³Éð»Ë,1:46.6,1.3/4,7.0,3.0,488(-6),[Åì] ·ªÅÄÅ°
7,3,3,¥¤¥ó¥Ê¡¼¥Ï¡¼¥È,²´3,54.0,´äÅÄ¹¯À¿,1:46.6,¥¯¥Ó,7.4,4.0,522(+16),[À¾] µÈÂ¼·½»Ê
8,5,6,¥í¡¼¥É¥½¥ê¥¹¥È,²´5,54.0,ÃÄÌîÂçÀ®,1:46.7,¥¯¥Ó,82.1,11.0,456(+4),[Åì] ÏÂÅÄÍ¦²ð
9,5,5,¥«¥ê¥Ö¥á¡¼¥«¡¼,ÌÆ4,55.0,µÈÅÄÈ»¿Í,1:46.8,3/4,37.2,10.0,510(0),[À¾] ²ÏÆâÍÎ
10,6,7,¥¦¥©¡¼¥¿¡¼¥Õ¥¡¥é¥ª,²´3,54.0,É©ÅÄÍµÆó,1:46.9,¥¯¥Ó,160.9,12.0,446(+4),[À¾] ²¬ÅÄ°ðÃË
11,8,12,¥¹¥×¥ê¥ó¥°¥Õ¥Ã¥È,²´5,57.0,¸¶ÅÄÏÂ¿¿,1:47.3,2.1/2,32.3,8.0,490(+10),[Åì] ¾®É°»³¸ç
12,6,8,¥Ç¥£¡¼¥×¥¹¥Ô¥ê¥Ã¥Ä,²´5,57.0,Ã°ÆâÍ´¼¡,1:47.3,¥¯¥Ó,23.9,6.0,458(-2),[À¾] ±©·îÍ§É§
1,1,1,¥ì¥Ã¥É¥ì¥°¥Ê¥ó¥È,ÌÆ4,55.0,ÃÓÅº¸¬°ì,1:28.1,,8.4,4.0,478(0),[Åì] ÂçÃÝÀµÇî
2,8,9,¥¹¥«¥ë¥Ð¥ó,²´5,57.0,µÈÅÄÈ»¿Í,1:28.2,3/4,19.0,7.0,516(+10),[Åì] Éð°æÎ¼
3,4,4,¥À¥Ö¥ë¥·¥ã¡¼¥×,²´4,57.0,¼Æ»³Íº°ì,1:28.2,¥¢¥¿¥Þ,2.5,1.0,492(+12),[À¾] ÅÏÊÕ·°É§
4,6,6,¥ï¡¼¥ë¥É¥Ø¥ê¥Æ¡¼¥¸,²´4,57.0,²£»³Åµ¹°,1:28.3,¥¯¥Ó,10.2,5.0,458(+4),[Åì] ¶âÀ®µ®»Ë
5,2,2,¥ª¡¼¥Ñ¥­¥ã¥Þ¥é¡¼¥É,ÌÆ3,52.0,²£»³Éð»Ë,1:28.5,1.1/4,13.1,6.0,486(+4),[À¾] ËÜÅÄÍ¥
6,8,8,¥ä¥Þ¥Ë¥ó¥Ú¥À¥é¡¼¥À,²´5,57.0,´äÅÄ¹¯À¿,1:28.5,¥¯¥Ó,4.2,3.0,474(+4),[À¾] Àõ¸«½¨°ì
7,3,3,¥¹¥¿¡¼¥¯¥Ë¥Ê¥¬,²´4,57.0,¾¾²¬Àµ³¤,1:28.7,1.1/4,30.9,8.0,440(0),[Åì] ·ªÅÄÅ°
8,7,7,¥¹¥º¥«¥¢¡¼¥Á¥¹¥È,ÌÆ4,55.0,Âã¹°¿Í,1:28.7,¥¢¥¿¥Þ,4.1,2.0,474(0),[Åì] °ËÆ£·½»°
9,5,5,¥¦¥©¡¼¥¿¡¼¥Ð¥ª¥Ð¥Ö,²´6,57.0,¹ñÊ¬¶³²ð,1:29.3,4,204.7,9.0,500(+4),[À¾] ²¬ÅÄ°ðÃË
1,8,13,¥ß¥Ã¥­¡¼¥Á¥ã¡¼¥à,ÌÆ4,56.0,ÀîÅÄ¾­²í,1:47.0,,2.3,1.0,456(+10),[À¾] ÃæÆâÅÄ½¼
2,4,6,¥¹¥«¡¼¥ì¥Ã¥È¥«¥é¡¼,ÌÆ4,55.0,´äÅÄ¹¯À¿,1:47.0,¥¯¥Ó,8.8,5.0,464(-6),[À¾] ¹â¶¶Î¼
3,8,14,¥«¥ê¥Ó¥¢¥ó¥´¡¼¥ë¥É,ÌÆ5,55.0,¼Æ»³Íº°ì,1:47.0,¥¢¥¿¥Þ,48.6,9.0,470(-6),[À¾] »­Åç°ìÊâ
4,7,12,¥¦¥é¥Ì¥¹¥Á¥ã¡¼¥à,ÌÆ4,55.0,Æ£²¬Í¤²ð,1:47.2,1.1/4,8.3,4.0,506(+10),[Åì] ºØÆ£À¿
5,7,11,¥¨¥¤¥·¥ó¥Æ¥£¥ó¥¯¥ë,ÌÆ6,55.0,ÉðË­,1:47.3,¥¯¥Ó,20.4,8.0,506(+6),[À¾] ¾åÂ¼ÍÎ¹Ô
6,1,1,¥µ¥È¥Î¥¬¡¼¥Í¥Ã¥È,ÌÆ4,55.0,¥ë¥á¡¼¥ë,1:47.4,1/2,6.6,3.0,430(+2),[À¾] ÌðºîË§¿Í
7,3,3,¥Õ¥í¥ó¥Æ¥¢¥¯¥¤¡¼¥ó,ÌÆ6,56.0,»°±º¹ÄÀ®,1:47.4,¥¢¥¿¥Þ,6.6,2.0,482(+2),[Åì] ¹ñ»Þ±É
8,4,5,¥á¥¤¥·¥ç¥¦¥·¥ç¥¦¥Ö,ÌÆ3,51.0,ÃÓÅº¸¬°ì,1:47.5,3/4,13.6,7.0,484(+2),[À¾] ÃÓÅº·óÍº
9,5,7,¥·¥ã¥ó¥Æ¥£¥í¡¼¥¶,ÌÆ5,55.0,Æ£²¬¹¯ÂÀ,1:47.6,¥¯¥Ó,77.7,12.0,482(-8),[À¾] ¾¾±Ê´´É×
10,5,8,¥Õ¥£¥Ë¥Õ¥Æ¥£,ÌÆ4,55.0,µÈÅÄÈ»¿Í,1:47.8,1.1/4,69.6,10.0,442(-8),[À¾] Æ£¸¶±Ñ¾¼
11,6,10,¥¦¥¤¥ó¥Õ¥¡¥Ó¥é¥¹,ÌÆ6,55.0,¾¾²¬Àµ³¤,1:47.8,¥¢¥¿¥Þ,158.7,14.0,472(-12),[Åì] È«»³µÈ¹¨
12,6,9,¥ê¥ó¥Ç¥£¡¼¥Û¥Ã¥×,ÌÆ4,55.0,²®Ìî¶Ë,1:48.0,1,106.4,13.0,470(+8),[Åì] ¶âÀ®µ®»Ë
13,2,2,¥ê¥ê¥Ã¥¯¥É¥é¥Þ,ÌÆ5,55.0,É©ÅÄÍµÆó,1:48.0,¥Ï¥Ê,69.7,11.0,466(+4),[À¾] ²¬ÅÄ°ðÃË
14,3,4,¥À¥Î¥ó¥°¥ì¡¼¥¹,ÌÆ4,55.0,éâÌ¾ÀµµÁ,1:48.4,2.1/2,10.7,6.0,424(+2),[Åì] ¹ñ»Þ±É
1,7,10,¥·¥Ù¥ê¥¦¥¹,²´6,57.0,²£»³ÏÂÀ¸,1:44.8,,15.8,5.0,470(-2),[Åì] Æ£¸¶Ã¤Íº
2,7,9,¥±¥ë¥Æ¥£¥Ã¥¯¥½¡¼¥É,²´6,57.0,»°±º¹ÄÀ®,1:44.9,1/2,8.2,4.0,490(+8),[À¾] ¿Ü³­¾°²ð
3,5,6,¥Õ¥©¥ë¥Ä¥¡¥¨¥Õ,²´4,57.0,ÉðË­,1:44.9,¥¢¥¿¥Þ,20.9,8.0,480(-2),[À¾] ¿¹½¨¹Ô
4,3,3,¥«¥Õ¥¸¥­¥ó¥°,²´6,57.0,Æ£²¬¹¯ÂÀ,1:45.0,1/2,2.4,1.0,470(+6),[À¾] ÃæÃÝÏÂÌé
5,1,1,¥µ¥¶¥ó¥Ö¥ê¡¼¥º,²´5,57.0,´äÅÄ¹¯À¿,1:45.0,¥¯¥Ó,3.6,2.0,524(-6),[À¾] ¶¶¸ý¿µ²ð
6,6,8,¥µ¥È¥Î¥²¥¤¥ë,²´4,57.0,Æ£²¬Í¤²ð,1:45.1,3/4,16.8,6.0,466(0),[À¾] ÃÓ¹¾ÂÙ¼÷
7,8,12,¥Æ¥¤¥¨¥à¥°¥Ã¥É¥Þ¥ó,²´5,57.0,¸ÅÀîµÈÍÎ,1:45.7,3.1/2,7.6,3.0,482(-4),[À¾] Éð±ÑÃÒ
8,8,11,¥á¥¤¥·¥ç¥¦¥¤¥Ã¥Ý¥ó,²´5,57.0,¼Æ»³Íº°ì,1:45.9,1.1/4,51.9,10.0,488(-4),[À¾] Âç¶¶Í¦¼ù
9,2,2,¥¿¥¤¥­¥À¥¤¥ä¥â¥ó¥É,²´5,57.0,¿û¸¶ÌÀÎÉ,1:45.9,¥Ï¥Ê,57.1,11.0,472(-2),[Åì] ¹âÌÚÅÐ
10,5,5,¥ê¥­¥µ¥ó¥À¥¤¥ª¡¼,²´6,57.0,²£»³Éð»Ë,1:46.1,1.1/4,87.6,12.0,466(0),[Åì] ±üÊ¿²í»Î
11,4,4,¥»¥¤¥ê¥¹¥Ú¥¯¥È,²´4,57.0,¹ñÊ¬¶³²ð,1:46.2,¥¯¥Ó,21.3,9.0,476(0),[À¾] Ä¹Ã«Àî¹À
12,6,7,¥á¥¤¥·¥ç¥¦¥Æ¥ó¥À¥ó,²´3,54.0,ÃÓÅº¸¬°ì,1:46.8,3.1/2,20.7,7.0,470(-2),[À¾] Æî°æ¹îÌ¦
1,3,3,¥­¥é¥Ã¥È¥À¥¤¥ä,ÌÆ2,51.0,ÃÄÌîÂçÀ®,1:00.0,,1.8,1.0,456(-4),[Åì] ¾å¸¶ÇîÇ·
2,2,2,¥¹¥È¥ì¥¬,ÌÆ2,51.0,¿û¸¶ÌÀÎÉ,1:00.2,1.1/4,26.2,7.0,448(-10),[Åì] ÀõÌîÍÎ°ì
3,6,6,¥¹¥Ô¡¼¥Ë¥Ç¥£¥í¡¼¥¶,ÌÆ2,54.0,ÀÐÀîÍµµª,1:00.8,3.1/2,5.5,2.0,444(+2),[Åì] Âç¹¾¸¶Å¯
4,4,4,¥Ç¥£¡¼¥¨¥¹¥×¥ë¡¼¥Õ,²´2,54.0,¥ë¥á¡¼¥ë,1:01.1,1.3/4,6.5,3.0,432(-8),[Åì] °ËÆ£·½»°
5,8,8,¥´¡¼¥ó¥Û¡¼¥à,²´2,54.0,²®Ìî¶Ë,1:01.1,¥¯¥Ó,14.8,5.0,454(-2),[À¾] ¹âÌøÂçÊå
6,5,5,¥Õ¥§¥¤¥Ð¥ê¥Ã¥È,²´2,54.0,¸¶ÅÄÏÂ¿¿,1:01.3,1,17.2,6.0,450(+4),[Åì] ¾®É°»³¸ç
7,1,1,¥¦¥¤¥ó¥Þ¡¼¥·¥ã¥ë,²´2,53.0,²£»³Éð»Ë,1:01.6,2,7.8,4.0,486(-2),[Åì] ÎëÌÚ¿­¿Ò
8,7,7,¥¢¥¤¥Ö¥é¥ó¥³,²´2,54.0,¼Æ»³Íº°ì,1:01.8,3/4,64.8,8.0,482(0),[Åì] ÃæÌî±É¼£
1,8,13,¥¢¥É¥Þ¥¤¥ä¥Ó¡¼¥Ê¥¹,ÌÆ3,54.0,´äÅÄ¹¯À¿,1:44.7,,9.0,5.0,466(-8),[À¾] ¿Ü³­¾°²ð
2,5,7,¥Ï¡¼¥È¥¦¥©¡¼¥ß¥ó¥°,ÌÆ3,54.0,µÈÅÄÈ»¿Í,1:45.3,4,5.9,4.0,432(-6),[À¾] ³ÑÅÄ¹¸°ì
3,2,2,¥×¥ê¥Þ¥ô¥©¥ë¥¿,ÌÆ3,54.0,¾¡±ºÀµ¼ù,1:45.5,1,42.4,12.0,418(0),[Åì] ÌðÌî±Ñ°ì
4,4,6,¥¹¥«¡¼¥ì¥Ã¥È¥µ¥¯¥é,ÌÆ3,54.0,ÀîÅç¿®Æó,1:45.6,3/4,12.1,7.0,494(-16),[À¾] µÜËÜÇî
5,7,11,¥¸¥å¡¼¥ó¥Ï¥ë¥¸¥ª¥ó,ÌÆ3,51.0,ÃÄÌîÂçÀ®,1:45.7,¥¯¥Ó,5.5,3.0,444(-8),[À¾] À¾±º¾¡°ì
